,id1,id2,G,H,I,T,E,B,S,C, ,num_if_res
0,4G4S_P,4G4S_O,0.09722222222222222,0.18055555555555555,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.1527777777777778,0,0.375,72
1,5XJL_A,5XJL_2,0.07407407407407407,0.1111111111111111,0.0,0.14814814814814814,0.3333333333333333,0.0,0.14814814814814814,0,0.18518518518518517,27
2,5XJL_2,5XJL_M,0.0,0.775,0.0,0.075,0.0,0.0,0.0,0,0.15,40
3,4IFD_C,4IFD_J,0.0,0.391304347826087,0.0,0.08695652173913043,0.17391304347826086,0.0,0.21739130434782608,0,0.13043478260869565,23
4,4IFD_A,4IFD_G,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.047619047619047616,0,0.2857142857142857,42
5,4IFD_C,4IFD_I,0.047619047619047616,0.11904761904761904,0.0,0.07142857142857142,0.30952380952380953,0.0,0.047619047619047616,0,0.40476190476190477,42
6,4IFD_K,4IFD_I,0.0,0.26666666666666666,0.0,0.13333333333333333,0.4222222222222222,0.0,0.06666666666666667,0,0.1111111111111111,45
7,4IFD_I,4IFD_G,0.08333333333333333,0.0,0.0,0.4166666666666667,0.125,0.0,0.125,0,0.25,24
8,5JEA_K,5JEA_I,0.0,0.2714285714285714,0.0,0.1,0.3,0.02857142857142857,0.08571428571428572,0,0.21428571428571427,70
9,5JEA_K,5JEA_C,0.06382978723404255,0.2127659574468085,0.0,0.0425531914893617,0.10638297872340426,0.0,0.1702127659574468,0,0.40425531914893614,47
10,4UB8_A,4UB8_I,0.08823529411764706,0.6470588235294118,0.0,0.11764705882352941,0.0,0.0,0.08823529411764706,0,0.058823529411764705,34
11,4UB8_B,4UB8_O,0.027777777777777776,0.08333333333333333,0.0,0.2222222222222222,0.027777777777777776,0.027777777777777776,0.3611111111111111,0,0.25,36
12,4UB8_K,4UB8_Y,0.041666666666666664,0.875,0.0,0.041666666666666664,0.0,0.0,0.0,0,0.041666666666666664,24
13,4UB8_B,4UB8_U,0.05263157894736842,0.3684210526315789,0.0,0.21052631578947367,0.0,0.05263157894736842,0.05263157894736842,0,0.2631578947368421,19
14,4UB8_B,4UB8_L,0.15625,0.15625,0.0,0.125,0.125,0.0,0.0,0,0.4375,32
15,4UB8_l,4UB8_m,0.0,0.7297297297297297,0.0,0.02702702702702703,0.05405405405405406,0.0,0.02702702702702703,0,0.16216216216216217,37
16,4UB8_o,4UB8_u,0.06666666666666667,0.26666666666666666,0.0,0.1,0.06666666666666667,0.0,0.16666666666666666,0,0.3333333333333333,30
17,4UB8_U,4UB8_V,0.15151515151515152,0.09090909090909091,0.0,0.3333333333333333,0.0,0.0,0.18181818181818182,0,0.24242424242424243,33
18,4UB8_E,4UB8_R,0.0,0.8387096774193549,0.0,0.0967741935483871,0.0,0.0,0.03225806451612903,0,0.03225806451612903,31
19,4UB8_A,4UB8_T,0.09523809523809523,0.3333333333333333,0.0,0.14285714285714285,0.0,0.0,0.09523809523809523,0,0.3333333333333333,21
20,4UB8_e,4UB8_j,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0,0.14285714285714285,21
21,4UB8_Z,4UB8_Y,0.0,0.6363636363636364,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0,0.18181818181818182,22
22,4UB8_A,4UB8_V,0.07142857142857142,0.2857142857142857,0.0,0.17857142857142858,0.0,0.03571428571428571,0.10714285714285714,0,0.32142857142857145,28
23,4UB8_T,4UB8_L,0.0,0.88,0.0,0.0,0.0,0.0,0.04,0,0.08,25
24,4UB8_A,4UB8_B,0.15789473684210525,0.15789473684210525,0.0,0.23684210526315788,0.05263157894736842,0.07894736842105263,0.07894736842105263,0,0.23684210526315788,38
25,4UB8_B,4UB8_H,0.1125,0.225,0.0,0.2375,0.0,0.0625,0.0625,0,0.3,80
26,4UB8_A,4UB8_O,0.0,0.13333333333333333,0.0,0.16666666666666666,0.23333333333333334,0.0,0.23333333333333334,0,0.23333333333333334,30
27,5H2F_F,5H2F_J,0.0,0.5294117647058824,0.0,0.17647058823529413,0.0,0.0,0.11764705882352941,0,0.17647058823529413,17
28,1SXJ_B,1SXJ_G,0.0,0.15789473684210525,0.0,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.10526315789473684,0,0.42105263157894735,19
29,3WTP_C,3WTP_F,0.041666666666666664,0.125,0.0,0.20833333333333334,0.25,0.0,0.041666666666666664,0,0.3333333333333333,24
30,3WTP_H,3WTP_F,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.0,0,0.0,19
31,2FYU_D,2FYU_H,0.03636363636363636,0.45454545454545453,0.0,0.07272727272727272,0.0,0.0,0.05454545454545454,0,0.38181818181818183,55
