,id1,id2,if_plddt_av_5,if_plddt_std_5,ch1_plddt_av_5,ch1_plddt_std_5,ch2_plddt_av_5,ch2_plddt_std_5,plddt_av_5,plddt_std_5,num_atoms_in_interface_5,num_res_in_interface_5,if_plddt_av_1,if_plddt_std_1,ch1_plddt_av_1,ch1_plddt_std_1,ch2_plddt_av_1,ch2_plddt_std_1,plddt_av_1,plddt_std_1,num_atoms_in_interface_1,num_res_in_interface_1,if_plddt_av_2,if_plddt_std_2,ch1_plddt_av_2,ch1_plddt_std_2,ch2_plddt_av_2,ch2_plddt_std_2,plddt_av_2,plddt_std_2,num_atoms_in_interface_2,num_res_in_interface_2,if_plddt_av_3,if_plddt_std_3,ch1_plddt_av_3,ch1_plddt_std_3,ch2_plddt_av_3,ch2_plddt_std_3,plddt_av_3,plddt_std_3,num_atoms_in_interface_3,num_res_in_interface_3,if_plddt_av_4,if_plddt_std_4,ch1_plddt_av_4,ch1_plddt_std_4,ch2_plddt_av_4,ch2_plddt_std_4,plddt_av_4,plddt_std_4,num_atoms_in_interface_4,num_res_in_interface_4
0,4G4S_P,4G4S_O,88.74291013064764,12.797608452776805,89.13877551939375,11.697095416938849,87.30451873977951,12.73670148006132,88.19813101702749,12.275546216964226,184,69,89.02066120744539,12.666069926304667,89.28161896500471,11.627309667323,87.25165501546253,12.954649407586023,88.24061181139334,12.367556844975072,182,69,89.13571043798247,12.704222251112007,89.51095621856243,11.125859768728702,88.72888574211558,11.464722666864352,89.10989443576919,11.307663824840539,188,71,89.42864525634116,12.530213966763071,89.40954533960449,11.353302889781375,88.89266988917402,11.131153000683902,89.14448100605041,11.24289711479083,184,70,89.32316308121719,12.653849397634653,89.46575910056605,11.058165533773924,88.84784544079605,12.343064421681495,89.148880300684,11.738739865832793,182,69
1,5XJL_A,5XJL_2,82.90243066495509,1.6426473822227834,91.23498570644756,6.896721354567377,80.77848875506214,10.448044642758823,83.75033525703485,10.672318860937665,2,2,82.79401139970365,2.405634392112552,91.00659377144278,7.419059278614976,81.2550313602553,10.132924759257751,84.02652804554019,10.415535874128329,4,3,0.0,0.0,91.10009999356359,7.223378071012096,80.99569389827019,10.525846982537784,83.86747247272201,10.71935633446486,0,0,0.0,0.0,91.27580578450454,6.929066914656621,81.64522386509348,10.4650487396349,84.38233662113663,10.531144306700373,0,0,0.0,0.0,90.94531034197009,7.273982633522572,80.53317922937926,10.384923122483256,83.4924164929577,10.690564785508345,0,0
2,5XJL_2,5XJL_M,84.75682179272263,4.944516837977894,79.7798473420798,10.799043297595501,82.89786381486485,6.6831485393964245,80.01969476306327,10.572353957500235,76,29,82.47391425718831,5.251112048237083,77.62051370065322,10.85083537850986,81.07573673149561,7.108983194609992,77.88630008764109,10.649829893718275,76,29,82.59082316129012,5.239740153784192,77.93359855117404,10.589527607054183,81.07564315290813,7.186117088030108,78.17529428976898,10.401221982862632,76,29,81.95301759079506,5.508794436303897,77.64023893730726,10.746601941584792,80.25573574632803,7.275051519205467,77.84143099953963,10.543369846856406,76,29,86.86079528432232,4.607107807984178,80.6366127337538,10.786061389498437,85.4527044025545,6.74953239568264,81.00708132366155,10.608545754791642,76,29
3,4IFD_C,4IFD_J,85.2957090126332,8.96608743144494,78.3447658510595,16.179183099784602,86.02519744235347,12.066698943351838,84.00654590436173,13.695436040018745,20,11,85.50495840094318,6.570259988929892,78.64260334853226,16.271619266976973,85.97259559673556,12.060646919859192,84.04605020024042,13.683075152897324,22,13,67.60711940891757,19.25628104153709,79.22841218864106,15.231915105832035,85.97467330678718,11.7377722733466,84.20155024463058,13.090506530411199,4,4,59.730392432671394,19.177169705083674,78.18180713433983,16.19471339735029,86.00364152727369,12.089479520357303,83.94782502275453,13.730531134391168,10,9,85.53276900478555,7.499744238795607,80.49619227943717,14.938389481082421,85.52674764701914,12.335247072447975,84.20456435445092,13.256005647141711,18,10
4,4IFD_A,4IFD_G,86.00438704026115,8.990161584358244,87.7106610010112,10.74668748438304,85.00383260952162,7.68166703835163,86.51884850028074,9.613917067838726,94,38,85.82419125797482,8.193535977686423,87.84315455069414,11.014533419969869,84.52220264771937,7.643851353758729,86.38094438445899,9.815640144806727,92,37,84.94814157271615,9.551426516163826,87.97024694359048,11.50214332832168,84.94321424993205,7.428988118418468,86.63744896653192,10.030264396613962,100,40,85.91919681446001,9.503345301087656,87.82062950705647,10.702426693592498,84.58026439164419,7.589151899634353,86.39390158310628,9.594579317780092,88,37,85.75495059988705,8.549774488935801,87.86076046540552,10.923429214690632,84.04277952008955,7.830444472368572,86.17970915366193,9.867820592074652,92,37
5,4IFD_C,4IFD_I,68.88503986893575,16.936385050007864,81.69704330632372,14.1186273145665,79.12623080337619,15.224915195056427,80.656045285764,14.631239155231578,70,34,67.16618464099591,18.032736871861502,83.36408044156825,12.8816206181457,79.40831310646726,15.637800640253225,81.7622732460168,14.196340776460435,74,37,68.46837019519292,17.677130628626234,81.85012498646948,13.967926394999099,79.40445433166654,15.38349444316607,80.85980060160206,14.607142936408895,66,32,67.21948133269035,16.452099793178636,81.81914428096535,13.771348560518911,78.52237955174583,15.761520567452465,80.48418673216169,14.699282451106555,68,31,66.49037564058493,18.665778324213527,81.54525614892498,13.92400843571332,78.99331537438094,15.638552429203733,80.51189984937368,14.695973472825425,82,37
6,4IFD_K,4IFD_I,0.0,0.0,43.969562318171775,10.267455660857145,83.48770316488681,14.266801073428244,73.19519702796103,21.88129374175721,0,0,0.0,0.0,44.335185923147314,10.291282760286412,83.50164073059888,14.455586436724946,73.30073127914041,21.854029138965014,0,0,0.0,0.0,44.17258167884575,10.173088001721409,83.32362787458591,14.276728594733633,73.12673159852496,21.747083234182924,0,0,0.0,0.0,44.61830947537996,10.414048495933264,83.96226550983711,14.038386659298112,73.71512583526791,21.72908957828797,0,0,0.0,0.0,45.17380655537074,10.146463073044627,83.19401231530114,14.560516040277506,73.29164361255398,21.495061425056267,0,0
7,4IFD_I,4IFD_G,85.53581128251581,4.362936778561306,82.37168925182901,14.796244497712976,88.97393177905948,5.813772177338301,85.71531422270108,11.664826493973152,36,18,85.27381281861202,4.338013343531639,82.21995828259746,14.587434714999022,88.59791121959911,5.761304738222487,85.44999453395451,11.489325470786508,36,18,85.15757342646192,4.910900777767077,82.49729297668375,14.578744802315974,89.04084769357948,5.948758507523505,85.81119622386699,11.555347351091607,36,18,84.08405570448244,5.397453795916184,82.26565317736097,14.449669739049636,88.28320530888567,6.016335994341228,85.31316884912026,11.42080218564744,34,17,83.53918007946439,6.230700816551652,81.97915881693606,14.590635268375909,88.57040927152819,5.878428703918481,85.31721698707283,11.551301834051786,38,18
8,5JEA_K,5JEA_I,74.87996474321696,18.91615851031285,64.02140608654476,17.69204559815431,73.50556865320604,19.215247612419848,69.32802085598618,19.147637233972766,100,37,78.54787863394054,12.309776988174566,70.83932468972213,15.793420770423033,74.49700356827381,18.68832437836722,72.88588310986414,17.566496569658295,136,57,83.17562678766069,9.262376126141868,70.85471142075545,15.564232911196044,73.06255505604098,19.77636370616433,72.09005250240331,18.075867716698507,110,41,79.6985170867706,14.248081310128848,67.91957578065208,17.833718775738905,72.6197573355162,19.494577383980225,70.5494392696832,18.92551159670782,94,38,75.4314951556926,16.21262604174289,67.99807304129314,16.789150608185878,73.97164770793245,18.51876469990201,71.34043029524608,18.023308360198854,120,51
9,5JEA_K,5JEA_C,68.47073162939635,19.859162834675168,69.46800453517544,18.376167040702526,85.47422359634837,9.686505730522258,79.54005420493156,15.620654647820325,66,32,67.866497476772,18.889679052382604,69.334199949091,17.433284008043685,84.88334767461224,9.945157652133226,79.11863358799616,15.209126611549966,76,37,69.21724736343634,19.51579269995293,68.9744072323975,18.611796769964425,86.14259738015326,9.028337635876808,79.77763710493319,15.763185462416857,68,38,67.03699002589283,20.035858353277547,67.84239598034218,18.77067952229772,84.50536250951923,10.067838465099344,78.32770958788045,16.099180072188073,70,35,68.25631125372314,19.398322479036906,67.89259210301162,18.272430958943183,85.11183835524267,9.77491307237867,78.727949464135,15.908504064866333,72,33
