,id1,id2,if_plddt_av,if_plddt_std,ch1_plddt_av,ch1_plddt_std,ch2_plddt_av,ch2_plddt_std,plddt_av,plddt_std,num_atoms_in_interface,num_res_in_interface,metric_name,model_name
0,Q6ZNK6,Q9Y4K3,89.53246197755003,1.1641977791460931,81.87459399702723,20.08367253929692,81.7365583402384,20.381563048453526,81.76909676006711,20.311820931035243,2,2,result_model_1,unrelaxed_model_1
1,Q9NR31,Q15797,52.45258183418982,15.888153756215951,78.67525210776404,18.80922145405783,74.93477525244532,25.03794166787863,76.05184073864909,23.415086413748046,24,14,result_model_1,unrelaxed_model_1
2,P11627,P53986,62.369547415049944,25.775034734552637,76.00332979705833,18.35639947772855,78.50660155431844,21.35792068221361,76.70733035400599,19.2807653811961,24,16,result_model_1,unrelaxed_model_1
3,P33176,Q96EK5,71.43517611129118,15.438551497405621,71.73856546292079,16.775795355110883,85.53419082311127,14.400318874226391,77.14707767799547,17.255577706201144,22,15,result_model_1,unrelaxed_model_1
4,Q9NPY3,P02745,70.01515004407149,12.063384050370814,69.92974550688022,20.58766265794677,69.2714592396882,19.331042737270675,69.74994602475978,20.254303981227064,10,8,result_model_1,unrelaxed_model_1
5,Q9SYQ8,O80809,78.35995918917669,16.61981382051894,82.08417505320051,16.483434561403072,78.18025496116489,19.86794041782994,80.43075007304424,18.09784721522205,148,63,result_model_1,unrelaxed_model_1
6,Q99576,O43524,0.0,0.0,71.41515351334884,19.418770578348397,48.04684408877453,17.056212400448185,51.92708381974473,19.515167184385874,0,0,result_model_1,unrelaxed_model_1
7,Q7L7X3,O60566,49.777992256168545,19.930781744253835,64.6215230189498,22.093134340782672,54.95427713487781,25.26010277356461,59.672421030517036,24.25348777198276,50,28,result_model_1,unrelaxed_model_1
8,Q9BZM4,P16757,0.0,0.0,77.81086029293218,21.150159696840483,30.380337721819462,5.485852964698611,54.796049762645424,28.404165170494768,0,0,result_model_1,unrelaxed_model_1
9,Q8TD07,P16757,64.16413592939618,20.03188004618733,77.4145970467488,18.804867059766035,37.450008408306665,11.85788213492807,58.76985995376362,25.529365134350236,6,6,result_model_1,unrelaxed_model_1
10,Q61508,P36888,50.09061440060902,24.190722831041377,56.25882416148969,23.705930050092366,48.79017773819214,28.148105843226332,51.48023788678965,26.873869883897168,54,32,result_model_1,unrelaxed_model_1
11,O80809,Q9SYQ8,75.07527446916694,18.91273653373807,79.37820555610712,18.900664146355936,81.94830588004581,17.163762792987153,80.85979280167177,17.964896652237787,302,109,result_model_1,unrelaxed_model_1
12,P11799-3,P62149,79.5269050468629,13.612386738030928,78.25306970991979,23.124158367862645,79.54405645636317,11.267822653994745,78.88168743939711,18.346440372225185,4,3,result_model_1,unrelaxed_model_1
13,P54130,P16092,56.89845494720688,27.15313472098959,70.38192740684894,27.916338229058994,71.4756760821108,24.156107991492586,71.25480256322297,24.965004072929034,52,29,result_model_1,unrelaxed_model_1
14,P54130,Q03142,71.41196468690843,21.85661913479722,70.59161139403186,28.69750972131029,72.0930296849958,23.38944306444179,71.7829055494243,24.587472206120744,162,81,result_model_1,unrelaxed_model_1
15,P02769,P04840,67.95449263591695,29.88999589812382,87.17061745405361,11.926839764720679,90.70784795699038,6.12796167738343,88.2953772656616,10.567472508039748,10,7,result_model_1,unrelaxed_model_1
16,P41593,Q9WTJ5,76.32765477091782,15.324649786598313,66.96717670737756,21.68613200894419,73.03225899096962,17.523423541263238,68.18183459367205,21.05925367440403,12,11,result_model_1,unrelaxed_model_1
17,Q6ZP65,Q6QLM7,61.68200707425972,19.95359351417552,61.93969656154502,20.50492696264264,71.95469230757116,19.771518408740057,68.36807195602556,20.604556987512897,64,41,result_model_1,unrelaxed_model_1
